gene_id,SRR6819016,SRR6819017,SRR6819018,SRR6819020,SRR6819021,SRR6819022
FUN_029549,0,0,0,0,0,0
FUN_029555,92,245,445,387,436,407
FUN_029506,9,16,14,21,27,30
FUN_029540,74,132,238,179,211,231
FUN_029568,250,176,262,205,274,251
FUN_029575,4106,3454,6165,3716,5644,4765
FUN_029578,296,259,400,305,425,322
FUN_029739,130,130,236,107,261,215
FUN_029747,175,189,414,249,416,374
FUN_029789,0,0,0,4,0,0
FUN_029809,0,0,0,2,2,0
FUN_029917,109,109,156,148,129,130
FUN_029922,0,0,0,0,0,0
FUN_029932,0,4,0,0,0,3
FUN_029945,0,0,7,0,6,0
FUN_029795,2,0,3,0,0,0
FUN_029820,183,169,322,158,317,273
FUN_029825,2102,1497,2262,1573,2040,1643
FUN_029827,1285,1525,1199,1382,1154,1170
FUN_029838,1739,1576,3993,1685,3356,2139
FUN_029849,224,306,185,227,108,175
FUN_029866,2310,2527,2834,2380,2650,2090
FUN_029872,191,148,321,142,265,218
FUN_029873,254,276,438,274,406,447
FUN_029877,625,690,1199,901,1143,1093
FUN_029888,54,72,87,62,63,75
FUN_029893,2,3,2,2,0,3
FUN_029897,597,604,887,921,1253,1016
FUN_029902,96,141,259,174,337,325
FUN_029909,862,900,1438,949,1338,1308
FUN_029907,143,136,305,119,246,185
FUN_029910,23,44,48,46,71,61
FUN_029912,360,288,800,505,878,607
FUN_029913,386,277,571,351,640,454
FUN_029914,5870,4799,7656,5487,7545,6670
FUN_029948,3,8,3,12,10,10
FUN_029954,33,34,50,26,38,24
FUN_029957,16,13,8,10,7,11
FUN_029962,238,339,339,290,352,291
FUN_029966,328,394,652,350,567,468
FUN_029969,18,28,41,30,42,12
FUN_029974,323,250,411,261,435,339
FUN_029976,2305,1533,2536,1798,2192,1670
FUN_029980,120,105,236,148,225,169
FUN_029983,174,248,131,192,104,104
FUN_029987,1038,1141,2170,1398,1906,1778
FUN_029997,2,0,0,0,0,0
FUN_030001,48,122,192,223,317,241
FUN_030003,25,67,89,138,139,142
FUN_030006,1,0,0,2,0,0
FUN_030021,248,292,428,306,330,274
FUN_030023,191,131,215,103,129,102
FUN_030027,496,416,724,484,602,549
FUN_030029,684,974,1631,1235,1714,1344
FUN_030035,148,189,474,332,338,366
FUN_030039,104,255,463,338,330,361
